Recourse,Type,Topic,Subtopic,Link,Observation,
USP,Course,,,https://mooc.cps.sp.gov.br/,,
Freecodecamp,Course,Programming,,https://www.freecodecamp.org/news/new-online-courses/,,
Uri,Course,,,http://www.openculture.com/2019/10/1600-moocs-massive-open-online-courses-getting-started-in-october.html,,
ITA,Course,,,https://engenhariae.com.br/editorial/colunas/ita-libera-10-cursos-gratuitos-online-e-com-certificados?fbclid=IwAR138C-l1pZL-5t-6Zddx-_Ip3q55FzZ_GG5golLI0e2c2anSG5yr5XQmE8,,
FGV,Course,,,https://www.economiasc.com/2020/03/18/fgv-libera-55-cursos-online-gratuitos-para-fazer-durante-a-quarentena/amp/,,
Open Source Society University,MOOC,Data Science,,https://github.com/ossu/data-science,,
Open Source Society University,MOOC,Computer Science,,https://github.com/ossu/computer-science,,
W3 Schools,Course,,,https://www.w3schools.com/,,
Udemy,Course,Gratuito,,https://programacaopratica.com.br/2020/06/06/250-cursos-gratuitos-da-udemy/,,
Github,Notebooks,Data Science,,https://github.com/LearnDataSci/article-resources,,
Github,Book,Programming,Free,https://github.com/EbookFoundation/free-programming-books,,
,,Machine Learning,,https://www.classcentral.com/subject/machine-learning,,
,,Machine Learning,,https://madewithml.com/topics/,,
Analytics Vidhya,,Machine Learning,,https://www.analyticsvidhya.com/,,
Escola Livre IA,Course,Machine Learning,,http://escolalivre-ia.com.br/,,
Udemy,Course,Machine Learning,Feature Engineering,https://www.udemy.com/course/feature-engineering-for-machine-learning/,,
Udemy,Course,Machine Learning,Feature Selection,https://www.udemy.com/course/feature-selection-for-machine-learning/,,
Youtube,,Machine Learning,,https://www.youtube.com/watch?v=ujTCoH21GlA&list=PLzMcBGfZo4-mP7qA9cagf68V06sko5otr,,
Andrew NG,,Machine Learning,Python,https://www.johnwittenauer.net/machine-learning-exercises-in-python-part-1/,,
Google Colab,Notebook,Image,Dog breed,https://colab.research.google.com/drive/1POYE-S8jkKEwJvOfJyxAGW9jG1lHwzpy,,
,,Machine Learning,Neural Networks,https://iaexpert.com.br/index.php/2020/06/08/os-tipos-de-redes-neurais/,,
,Book,Deep Learning,,http://d2l.ai/index.html,,
,Book,Deep Learning,Recommendation Systems,http://d2l.ai/chapter_recommender-systems/index.html,,
,Platform,RegEx,,https://regexone.com/,,
,,RegEx,,http://regexlib.com/(X(1)A(K78s4bTDUFV6R4NBp3kBKUjoZOcb6xmTZnlSoYfQ4ycGT4jC1TEinnblSBkDhBlP95HFT5REb7xCb1g7Zjo-2E5yEHnNMa63X_rd2DRATh720eyWjlM40cWhzhKaHuJJIqaXc7GcXQfQfM2vD7c7YbYeZCx73BMxLPqc-8sKy6JaZUWU0YYqCAlRgVKlR8uh0))/CheatSheet.aspx?AspxAutoDetectCookieSupport=1,,
,,Text Mining,,https://www.tidytextmining.com/,,
,,Text Mining,,https://thriv.github.io/biodatasci/r-textmining.html,,
,,Text Mining,,https://felixluginbuhl.com/wikisourcer/articles/wikisourcer.html,,
R,,Text Mining,,https://cran.r-project.org/web/packages/tidytext/vignettes/tidytext.html,,
IBM,Course,Data Science,,https://cognitiveclass.ai/,,
IBM,Course,Data Science,,https://cognitiveclass.ai/badges/page/5,,
IBM,Course,Data Science,,https://cognitiveclass.ai/learn/data-science,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/data-science-101,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/data-science-hands-open-source-tools-2,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/data-science-methodology-2,,
IBM,Course,Data Science,,https://cognitiveclass.ai/learn/data-science-r,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/r-101,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/using-r-with-databases,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/data-visualization-with-r,,
IBM,Course,Data Science,,https://cognitiveclass.ai/courses/learn-sql-relational-databases,,
